Seq. For Order,Observation Class,Domain Prefix,Variable Name (minus domain prefix),,Variable Label,Variable Name,Controlled Terms or Format,Role,CDISC Notes (for domains) Description (for General Classes),Core
34,Findings,PC,ELTM,,Planned Elapsed Time from Time Point Ref,PCELTM,ISO 8601,Timing,Planned elapsed time (in ISO 8601) relative to a planned fixed reference (PCTPTREF) such as 'PREVIOUS DOSE' or 'PREVIOUS MEAL'. This variable is useful where there are repetitive measures. Not a clock time or a date time variable.,Perm
35,Findings,PC,TPTREF,,Time Point Reference,PCTPTREF,,Timing,"Name of the fixed reference point used as a basis for PCTPT, PCTPTNUM, and PCELTM. Example: Most Recent Dose.",Perm
36,Findings,PC,RFTDTC,,Date/Time of Reference Point,PCRFTDTC,ISO 8601,Timing,Date/time of the reference time point described by PCTPTREF.,Perm
37,Findings,PC,EVLINT,,Evaluation Interval,PCEVLINT,ISO 8601,Timing,Evaluation Interval associated with a PCTEST record represented in ISO 8601 character format. Example: '-P2H' to represent an interval of 2 hours prior to a PCTPT.,Perm
1,Findings,PP,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,PP,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,PP,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,PP,SEQ,,Sequence Number,PPSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,PP,GRPID,,Group ID,PPGRPID,,Identifier,Used to tie together a block of related records in a single domain to support relationships within the domain and between domains.,Perm
6,Findings,PP,TESTCD,,Parameter Short Name,PPTESTCD,,Topic,"Short name of the pharmacokinetic parameter. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PPTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., '1TEST'). PPTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: AUC, TMAX, CMAX.",Req
7,Findings,PP,TEST,,Parameter Name,PPTEST,,Synonym Qualifier,"Name of the pharmacokinetic parameter. The value in PPTEST cannot be longer than 40 characters. Examples: AUC, Tmax, Cmax.",Req
8,Findings,PP,CAT,,Parameter Category,PPCAT,,Grouping Qualifier,"Used to define a category of related records. For PP, this should be the name of the analyte in PPTEST whose profile the parameter is associated with.",Exp
9,Findings,PP,SCAT,,Parameter Subcategory,PPSCAT,,Grouping Qualifier,"Categorization of the model type used to calculate the PK parameters. Examples include COMPARTMENTAL, NON-COMPARTMENTAL.",Perm
10,Findings,PP,ORRES,,Result or Finding in Original Units,PPORRES,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
11,Findings,PP,ORRESU,,Original Units,PPORRESU,UNIT,Variable Qualifier,Original units in which the data were collected. The unit for PPORRES. Example: ng/L.,Exp
12,Findings,PP,STRESC,,Character Result/Finding in Std Format,PPSTRESC,,Result Qualifier,"Contains the result value for all findings, copied or derived from PPORRES in a standard format or standard units. PPSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in PPSTRESN.",Exp
13,Findings,PP,STRESN,,Numeric Result/Finding in Standard Units,PPSTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from PPSTRESC. PPSTRESN should store all numeric test results or findings.,Exp
14,Findings,PP,STRESU,,Standard Units,PPSTRESU,UNIT,Variable Qualifier,Standardized unit used for PPSTRESC and PPSTRESN.,Exp
15,Findings,PP,STAT,,Completion Status,PPSTAT,ND,Record Qualifier,Used to indicate that a parameter was not calculated. Should be null if a result exists in PPORRES.,Perm
16,Findings,PP,REASND,,Reason Parameter Not Calculated,PPREASND,,Record Qualifier,"Describes why a parameter was not calculated, such as INSUFFICIENT DATA. Used in conjunction with PPSTAT when value is NOT DONE.",Perm
17,Findings,PP,SPEC,,Specimen Material Type,PPSPEC,,Record Qualifier,"Defines the type of specimen used for a measurement. If multiple specimen types are used for a calculation (e.g., serum and urine for renal clearance), then this field should be left blank. Examples: SERUM, PLASMA, URINE.",Exp
18,Findings,PP,DTC,,Date/Time of Parameter Calculations,PPDTC,ISO 8601,Timing,Nominal date/time of parameter calculations.,Perm
19,Findings,PP,RFTDTC,,Date/Time of Reference Point,PPRFTDTC,ISO 8601,Timing,Date/time of the reference time point from the PC records used to calculate a parameter record. The values in PPRFTDTC should be the same as that in PCRFTDTC for related records.,Exp
1,Findings,FA,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,FA,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,FA,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,FA,SEQ,,Sequence Number,FASEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,FA,GRPID,,Group ID,FAGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Findings,FA,SPID,,Sponsor-Defined Identifier,FASPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF.,Perm
7,Findings,FA,TESTCD,,Findings About Test Short Name,FATESTCD,,Topic,"Short name of the measurement, test, or examination described in FATEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in FATESTCD cannot be longer than 8 characters, nor can it start with a number (e.g. '1TEST'). FATESTCD cannot contain characters other than letters, numbers, or underscores. Example: SEV, OCCUR.",Req
8,Findings,FA,TEST,,Findings About Test Name,FATEST,,Synonym Qualifier,"Verbatim name of the test or examination used to obtain the measurement or finding. The value in FATEST cannot be longer than 40 characters. Examples: Severity/Intensity, Occurrence",Req
9,Findings,FA,OBJ,,Object of the Observation,FAOBJ,,Record Qualifier,"Used to describe the object or focal point of the findings observation that is represented by --TEST. Examples: the term (such as Acne) describing a clinical sign or symptom that is being measured by a Severity test, or an event such as VOMIT where the volume of Vomit is being measured by a VOLUME test.",Req
10,Findings,FA,CAT,,Category for Findings About,FACAT,,Grouping Qualifier,"Used to define a category of related records. Examples: GERD, PRE-SPECIFIED AE.",Perm
11,Findings,FA,SCAT,,Subcategory for Findings About,FASCAT,,Grouping Qualifier,A further categorization of FACAT.,Perm
12,Findings,FA,ORRES,,Result or Finding in Original Units,FAORRES,,Result Qualifier,Result of the test as originally received or collected.,Exp
13,Findings,FA,ORRESU,,Original Units,FAORRESU,UNIT,Variable Qualifier,Original units in which the data were collected. The unit for FAORRES.,Perm
14,Findings,FA,STRESC,,Character Result/Finding in Std Format,FASTRESC,,Result Qualifier,"Contains the result value for all findings, copied or derived from FAORRES in a standard format or standard units. FASTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in FASTRESN. For example, if a test has results 'NONE', 'NEG', and 'NEGATIVE' in FAORRES and these results effectively have the same meaning; they could be represented in standard format in FASTRESC as 'NEGATIVE'.",Exp
15,Findings,FA,STRESN,,Numeric Result/Finding in Standard Units,FASTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from FASTRESC. FASTRESN should store all numeric test results or findings.,Perm
16,Findings,FA,STRESU,,Standard Units,FASTRESU,UNIT,Variable Qualifier,Standardized unit used for FASTRESC and FASTRESN.,Perm
17,Findings,FA,STAT,,Completion Status,FASTAT,ND,Record Qualifier,Used to indicate that the measurement was not done. Should be null if a result exists in FAORRES.,Perm
18,Findings,FA,REASND,,Reason Not Performed,FAREASND,,Record Qualifier,Describes why a question was not answered. Example: subject refused. Used in conjunction with FASTAT when value is NOT DONE.,Perm
19,Findings,FA,LOC,,Location of the Finding About,FALOC,LOC,Variable Qualifier,Used to specify the location of the clinical evaluation. Example: LEFT ARM,Perm
20,Findings,FA,BLFL,,Baseline Flag,FABLFL,NY,Record Qualifier,Indicator used to identify a baseline value. The value should be 'Y' or null.,Perm
21,Findings,FA,EVAL,,Evaluator,FAEVAL,,Record Qualifier,"Role of the person who provided the evaluation. Used only for results that are subjective (e.g., assigned by a person or a group). Should be null for records that contain collected or derived data. Examples: INVESTIGATOR, ADJUDICATION COMMITTEE, VENDOR.",Perm
22,Findings,FA,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
23,Findings,FA,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
24,Findings,FA,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
25,Findings,FA,DTC,,Date/Time of Collection,FADTC,ISO 8601,Timing,,Perm
26,Findings,FA,DY,,Study Day of Collection,FADY,,Timing,"1. Study day of collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.",Perm
1,Interventions,CM,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Interventions,CM,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Interventions,CM,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Interventions,CM,SEQ,,Sequence Number,CMSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Interventions,CM,GRPID,,Group ID,CMGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Interventions,CM,SPID,,Sponsor-Defined Identifier,CMSPID,,Identifier,Sponsor-defined reference number. Examples: a number pre-printed on the CRF as an explicit line identifier or record identifier defined in the sponsor's operational database. Example: line number on a concomitant medication page.,Perm
7,Interventions,CM,TRT,,"Reported Name of Drug, Med, or Therapy",CMTRT,,Topic,Verbatim medication name that is either pre-printed or collected on a CRF.,Req
8,Interventions,CM,MODIFY,,Modified Reported Name,CMMODIFY,,Synonym Qualifier,"If CMTRT is modified to facilitate coding, then CMMODIFY will contain the modified text.",Perm
9,Interventions,CM,DECOD,,Standardized Medication Name,CMDECOD,,Synonym Qualifier,Standardized or dictionary-derived text description of CMTRT or CMMODIFY. Equivalent to the generic medication name in WHO Drug. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes. If an intervention term does not have a decode value in the dictionary then CMDECOD will be left blank.,Perm
10,Interventions,CM,CAT,,Category for Medication,CMCAT,,Grouping Qualifier,"Used to define a category of medications/treatments. Examples: PRIOR, CONCOMITANT, ANTI-CANCER MEDICATION, or GENERAL CONMED.",Perm
11,Interventions,CM,SCAT,,Subcategory for Medication,CMSCAT,,Grouping Qualifier,"A further categorization of medications/ treatment. Examples: CHEMOTHERAPY, HORMONAL THERAPY, ALTERNATIVE THERAPY.",Perm
12,Interventions,CM,PRESP,,CM Pre-Specified,CMPRESP,NY,Record Qualifier,Used to indicate whether (Y/null) information about the use of a specific medication was solicited on the CRF.,Perm
13,Interventions,CM,OCCUR,,CM Occurrence,CMOCCUR,NY,Record Qualifier,"When the use of specific medications is solicited, CMOCCUR is used to indicate whether or not (Y/N) use of the medication occurred. Values are null for medications not specifically solicited.",Perm
14,Interventions,CM,STAT,,Completion Status,CMSTAT,ND,Record Qualifier,Used to indicate that a question about a pre-specified medication was not answered. Should be null or have a value of NOT DONE.,Perm
15,Interventions,CM,REASND,,Reason Medication Not Collected,CMREASND,,Record Qualifier,Describes the reason concomitant medication was not collected. Used in conjunction with CMSTAT when value is NOT DONE.,Perm
16,Interventions,CM,INDC,,Indication,CMINDC,,Record Qualifier,"Denotes why a medication was taken or administered. Examples: NAUSEA, HYPERTENSION.",Perm
17,Interventions,CM,CLAS,,Medication Class,CMCLAS,,Variable Qualifier,"Drug class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow assumption 4.1.2.8.3 or omit CMCLAS.",Perm
18,Interventions,CM,CLASCD,,Medication Class Code,CMCLASCD,,Variable Qualifier,"Class code corresponding to CMCLAS. Drug class. May be obtained from coding. When coding to a single class, populate with class code. If using a dictionary and coding to multiple classes, then follow assumption 4.1.2.8.3 or omit CMCLASCD.",Perm
19,Interventions,CM,DOSE,,Dose per Administration,CMDOSE,,Record Qualifier,Amount of CMTRT taken.,Perm
20,Interventions,CM,DOSTXT,,Dose Description,CMDOSTXT,,Record Qualifier,"Dosing amounts or a range of dosing information collected in text form. Units may be stored in CMDOSU. Example: 200-400, 15-20.",Perm
21,Interventions,CM,DOSU,,Dose Units,CMDOSU,UNIT,Variable Qualifier,"Units for CMDOSE, CMDOSTXT, and CMDOSTOT. Examples: ng, mg, or mg/kg.",Perm
22,Interventions,CM,DOSFRM,,Dose Form,CMDOSFRM,FRM,Record Qualifier,"Dose form for CMTRT. Examples: TABLET, LOTION.",Perm
23,Interventions,CM,DOSFRQ,,Dosing Frequency per Interval,CMDOSFRQ,FREQ,Variable Qualifier,"Usually expressed as the number of repeated administrations of CMDOSE within a specific time period. Examples: BID (twice daily), Q12H (every 12 hours).",Perm
24,Interventions,CM,DOSTOT,,Total Daily Dose,CMDOSTOT,,Record Qualifier,"Total daily dose of CMTRT using the units in CMDOSU. Total dose over a period other than day could be recorded in a separate Supplemental Qualifier variable. CMDOSTOT should be used in addition to CMDOSE, and not in place of it.",Perm
25,Interventions,CM,DOSRGM,,Intended Dose Regimen,CMDOSRGM,,Variable Qualifier,"Text description of the (intended) schedule or regimen for the Intervention. Examples: TWO WEEKS ON, TWO WEEKS OFF.",Perm
26,Interventions,CM,ROUTE,,Route of Administration,CMROUTE,ROUTE,Variable Qualifier,"Route of administration for CMTRT. Examples: ORAL, INTRAVENOUS.",Perm
27,Interventions,CM,STDTC,,Start Date/Time of Medication,CMSTDTC,ISO 8601,Timing,,Perm
28,Interventions,CM,ENDTC,,End Date/Time of Medication,CMENDTC,ISO 8601,Timing,,Perm
29,Interventions,CM,STDY,,Study Day of Start of Medication,CMSTDY,,Timing,Study day of start of medication relative to the sponsor-defined RFSTDTC.,Perm
30,Interventions,CM,ENDY,,Study Day of End of Medication,CMENDY,,Timing,Study day of end of medication relative to the sponsor-defined RFSTDTC.,Perm
31,Interventions,CM,DUR,,Duration of Medication,CMDUR,ISO 8601,Timing,Collected duration for a treatment episode. Used only if collected on the CRF and not derived from start and end date/times.,Perm
32,Interventions,CM,STRF,,Start Relative to Reference Period,CMSTRF,STENRF,Timing,"Describes the start of the medication relative to sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as 'PRIOR', 'ONGOING', or 'CONTINUING' was collected, this information may be translated into CMSTRF.",Perm
33,Interventions,CM,ENRF,,End Relative to Reference Period,CMENRF,STENRF,Timing,"Describes the end of the medication relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as 'PRIOR', 'ONGOING', or 'CONTINUING' was collected, this information may be translated into CMENRF.",Perm
34,Interventions,CM,STRTPT,,Start Relative to Reference Time Point,CMSTRTPT,STRTPT,Timing,Identifies the start of the medication as being before or after the reference time point defined by variable CMSTTPT.,Perm
35,Interventions,CM,STTPT,,Start Reference Time Point,CMSTTPT,,Timing,Description or date/time in ISO 8601 character format of the reference point referred to by CMSTRTPT. Examples: '2003-12-15' or 'VISIT 1'.,Perm
36,Interventions,CM,ENRTPT,,End Relative to Reference Time Point,CMENRTPT,ENRTPT,Timing,Identifies the end of the medication as being before or after the reference time point defined by variable CMENTPT.,Perm
37,Interventions,CM,ENTPT,,End Reference Time Point,CMENTPT,,Timing,Description or date/time in ISO 8601 character format of the reference point referred to by CMENRTPT. Examples: '2003-12-25' or 'VISIT 2'.,Perm
1,Interventions,EX,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Interventions,EX,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Interventions,EX,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Interventions,EX,SEQ,,Sequence Number,EXSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Interventions,EX,GRPID,,Group ID,EXGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Interventions,EX,SPID,,Sponsor-Defined Identifier,EXSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a CRF Page.,Perm
7,Interventions,EX,TRT,,Name of Actual Treatment,EXTRT,,Topic,Name of the intervention treatment - usually the verbatim name of the investigational treatment given during the dosing period for the observation.,Req
8,Interventions,EX,CAT,,Category for Treatment,EXCAT,,Grouping Qualifier,Used to define a category of related records. Example: COMPARATOR CLASS.,Perm
9,Interventions,EX,SCAT,,Subcategory for Treatment,EXSCAT,,Grouping Qualifier,A further categorization of treatment.,Perm
10,Interventions,EX,DOSE,,Dose per Administration,EXDOSE,,Record Qualifier,Amount of EXTRT administered or given.,Exp
11,Interventions,EX,DOSTXT,,Dose Description,EXDOSTXT,,Record Qualifier,Dosing amounts or a range of dosing information collected in text form. Example: 200-400.,Perm
12,Interventions,EX,DOSU,,Dose Units,EXDOSU,UNIT,Variable Qualifier,"Units for EXDOSE and EXDOSTOT. Examples: ng, mg, or mg/kg.",Exp
13,Interventions,EX,DOSFRM,,Dose Form,EXDOSFRM,FRM,Record Qualifier,"Dose form for EXTRT. Examples: TABLET, LOTION.",Exp
14,Interventions,EX,DOSFRQ,,Dosing Frequency per Interval,EXDOSFRQ,FREQ,Variable Qualifier,"Usually expressed as the number of repeated administrations of EXDOSE within a specific time period. Examples: BID (twice daily), Q4S (once every four weeks), BIS (twice a week).",Perm
15,Interventions,EX,DOSTOT,,Total Daily Dose,EXDOSTOT,,Record Qualifier,Total daily dose of EXTRT using the units in EXDOSU. Total dose over a period other than day could be recorded in a separate Supplemental Qualifier variable.,Perm
16,Interventions,EX,DOSRGM,,Intended Dose Regimen,EXDOSRGM,,Variable Qualifier,"Text description of the (intended) schedule or regimen for the Intervention. Examples: TWO WEEKS ON, TWO WEEKS OFF.",Perm
17,Interventions,EX,ROUTE,,Route of Administration,EXROUTE,ROUTE,Variable Qualifier,"Route of administration for EXTRT. Examples: ORAL, INTRAVENOUS.",Perm
18,Interventions,EX,LOT,,Lot Number,EXLOT,,Record Qualifier,Lot Number of the EXTRT product.,Perm
19,Interventions,EX,LOC,,Location of Dose Administration,EXLOC,LOC,Record Qualifier,Specifies location of administration. Example: LEFT ARM for a topical application.,Perm
20,Interventions,EX,TRTV,,Treatment Vehicle,EXTRTV,,Record Qualifier,Describes vehicle used for treatment. Example: SALINE.,Perm
21,Interventions,EX,VAMT,,Treatment Vehicle Amount,EXVAMT,,Variable Qualifier,Amount administered of the treatment vehicle indicated by EXTRTV,Perm
22,Interventions,EX,VAMTU,,Treatment Vehicle Amount Units,EXVAMTU,UNIT,Variable Qualifier,Units of the treatment vehicle amount indicated by EXVAMT,Perm
23,Interventions,EX,ADJ,,Reason for Dose Adjustment,EXADJ,,Record Qualifier,Describes reason or explanation of why a dose is adjusted - used only when an adjustment is represented in EX.,Perm
24,Interventions,EX,TAETORD,,Order of Element within Arm,TAETORD,,Timing,Number that gives the order of the Element within the Arm.,Perm
25,Interventions,EX,EPOCH,,Epoch,EPOCH,,Timing,Epoch associated with the Element in the planned sequence of Elements for the ARM to which the subject was assigned,Perm
26,Interventions,EX,STDTC,,Start Date/Time of Treatment,EXSTDTC,ISO 8601,Timing,The time when administration of the treatment indicated by EXTRT and EXDOSE began.,Exp
27,Interventions,EX,ENDTC,,End Date/Time of Treatment,EXENDTC,ISO 8601,Timing,The time when administration of the treatment indicated by EXTRT and EXDOSE ended.,Perm
28,Interventions,EX,STDY,,Study Day of Start of Treatment,EXSTDY,,Timing,Study day of start of treatment relative to the sponsor-defined RFSTDTC.,Perm
29,Interventions,EX,ENDY,,Study Day of End of Treatment,EXENDY,,Timing,Study day of end of treatment relative to the sponsor-defined RFSTDTC.,Perm
30,Interventions,EX,DUR,,Duration of Treatment,EXDUR,ISO 8601,Timing,Collected duration and unit of a treatment. Used only if collected on the CRF and not derived from start and end date/times.,Perm
31,Interventions,EX,TPT,,Planned Time Point Name,EXTPT,,Timing,"1. Text Description of time when a dose should be given. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See EXTPTNUM and EXTPTREF. Examples: Start or 5 min post.",Perm
32,Interventions,EX,TPTNUM,,Planned Time Point Number,EXTPTNUM,,Timing,Numerical version of EXTPT to aid in sorting.,Perm
33,Interventions,EX,ELTM,,Planned Elapsed Time from Time Point Ref,EXELTM,ISO 8601,Timing,Planned elapsed time (in ISO 8601 format) relative to the planned fixed reference (EXTPTREF). This variable is useful where there are repetitive measures. Not a clock time. Represented as an ISO duration.,Perm
34,Interventions,EX,TPTREF,,Time Point Reference,EXTPTREF,,Timing,"Name of the fixed reference point referred to by EXELTM, EXTPTNUM, and EXTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
1,Interventions,SU,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Interventions,SU,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Interventions,SU,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Interventions,SU,SEQ,,Sequence Number,SUSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Interventions,SU,GRPID,,Group ID,SUGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Interventions,SU,SPID,,Sponsor-Defined Identifier,SUSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: Line number on a Tobacco & Alcohol use CRF page.,Perm
7,Interventions,SU,TRT,,Reported Name of Substance,SUTRT,,Topic,"Substance name. Examples: Cigarettes, Coffee.",Req
8,Interventions,SU,MODIFY,,Modified Substance Name,SUMODIFY,,Synonym Qualifier,"If SUTRT is modified, then the modified text is placed here.",Perm
9,Interventions,SU,DECOD,,Standardized Substance Name,SUDECOD,,Synonym Qualifier,Standardized or dictionary-derived text description of SUTRT or SUMODIFY if the sponsor chooses to code the substance use. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes.,Perm
10,Interventions,SU,CAT,,Category for Substance Use,SUCAT,,Grouping Qualifier,"Used to define a category of related records. Examples: TOBACCO, ALCOHOL, or CAFFEINE.",Perm
11,Interventions,SU,SCAT,,Subcategory for Substance Use,SUSCAT,,Grouping Qualifier,"A further categorization of substance use. Examples: CIGARS, CIGARETTES, BEER, WINE",Perm
12,Interventions,SU,PRESP,,SU Pre-Specified,SUPRESP,NY,Record Qualifier,Used to indicate whether (Y/null) information about the use of a specific substance was solicited on the CRF.,Perm
13,Interventions,SU,OCCUR,,SU Occurrence,SUOCCUR,NY,Record Qualifier,"When the use of specific substances is solicited, SUOCCUR is used to indicate whether or not (Y/N) a particular pre-specified substance was used. Values are null for substances not specifically solicited.",Perm
14,Interventions,SU,STAT,,Completion Status,SUSTAT,ND,Record Qualifier,"When the use of pre-specified substances is solicited, the completion status indicates that there was no response to the question about the pre-specified substance. When there is no pre-specified list on the CRF, then the completion status indicates that substance use was not assessed for the subject.",Perm
15,Interventions,SU,REASND,,Reason Substance Use Not Collected,SUREASND,,Record Qualifier,Describes the reason substance use was not collected. Used in conjunction with SUSTAT when value of SUSTAT is NOT DONE.,Perm
16,Interventions,SU,CLAS,,Substance Use Class,SUCLAS,,Variable Qualifier,"Substance use class. May be obtained from coding. When coding to a single class, populate with class value. If using a dictionary and coding to multiple classes, then follow assumption 4.1.3.5 or omit SUCLAS.",Perm
17,Interventions,SU,CLASCD,,Substance Use Class Code,SUCLASCD,,Variable Qualifier,Code corresponding to SUCLAS. May be obtained from coding.,Perm
18,Interventions,SU,DOSE,,Substance Use Consumption,SUDOSE,,Record Qualifier,Amount of SUTRT consumed.,Perm
19,Interventions,SU,DOSTXT,,Substance Use Consumption Text,SUDOSTXT,,Record Qualifier,Substance use consumption amounts or a range of consumption information collected in text form.,Perm
20,Interventions,SU,DOSU,,Consumption Units,SUDOSU,UNIT,Variable Qualifier,"Units for SUDOSE, SUDOSTXT, and SUDOSTOT. Examples: OUNCES, CIGARETTE EQUIVALENTS, or GRAMS.",Perm
21,Interventions,SU,DOSFRM,,Dose Form,SUDOSFRM,,Record Qualifier,"Dose form for SUTRT. Examples: INJECTABLE, LIQUID, or POWDER.",Perm
22,Interventions,SU,DOSFRQ,,Use Frequency Per Interval,SUDOSFRQ,FREQ,Variable Qualifier,Usually expressed as the number of repeated administrations of SUDOSE within a specific time period. Example: Q24H (every day),Perm
23,Interventions,SU,DOSTOT,,Total Daily Consumption,SUDOSTOT,,Record Qualifier,"Total daily use of SUTRT using the units in SUDOSU. If sponsor needs to aggregate the data over a period other than daily, then the aggregated total could be recorded in a Supplemental Qualifier variable.",Perm
24,Interventions,SU,ROUTE,,Route of Administration,SUROUTE,ROUTE,Variable Qualifier,"Route of administration for SUTRT. Examples: ORAL, INTRAVENOUS.",Perm
25,Interventions,SU,STDTC,,Start Date/Time of Substance Use,SUSTDTC,ISO 8601,Timing,,Perm
26,Interventions,SU,ENDTC,,End Date/Time of Substance Use,SUENDTC,ISO 8601,Timing,,Perm
27,Interventions,SU,STDY,,Study Day of Start of Substance Use,SUSTDY,,Timing,Study day of start of substance use relative to the sponsor-defined RFSTDTC.,Perm
28,Interventions,SU,ENDY,,Study Day of End of Substance Use,SUENDY,,Timing,Study day of end of substance use relative to the sponsor-defined RFSTDTC.,Perm
29,Interventions,SU,DUR,,Duration of Substance Use,SUDUR,ISO 8601,Timing,Collected duration of substance use in ISO 8601 format. Used only if collected on the CRF and not derived from start and end date/times.,Perm
30,Interventions,SU,STRF,,Start Relative to Reference Period,SUSTRF,STENRF,Timing,"Describes the start of the substance use relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as 'PRIOR', 'ONGOING', or 'CONTINUING' was collected, this information may be translated into SUSTRF.",Perm
31,Interventions,SU,ENRF,,End Relative to Reference Period,SUENRF,STENRF,Timing,"Describes the end of the substance use with relative to the sponsor-defined reference period. The sponsor-defined reference period is a continuous period of time defined by a discrete starting point and a discrete ending point (represented by RFSTDTC and RFENDTC in Demographics). If information such as 'PRIOR', 'ONGOING', or 'CONTINUING' was collected, this information may be translated into SUENRF.",Perm
32,Interventions,SU,STRTPT,,Start Relative to Reference Time Point,SUSTRTPT,STRTPT,Timing,Identifies the start of the medication as being before or after the reference time point defined by variable SUSTTPT.,Perm
33,Interventions,SU,STTPT,,Start Reference Time Point,SUSTTPT,,Timing,Description or date/time in ISO 8601 character format of the reference point referred to by SUSTRTPT. Examples: '2003-12-15' or 'VISIT 1'.,Perm
34,Interventions,SU,ENRTPT,,End Relative to Reference Time Point,SUENRTPT,ENRTPT,Timing,Identifies the end of the medication as being before or after the reference time point defined by variable SUENTPT.,Perm
35,Interventions,SU,ENTPT,,End Reference Time Point,SUENTPT,,Timing,Description or date/time in ISO 8601 character format of the reference point referred to by SUENRTPT. Examples: '2003-12-25' or 'VISIT 2'.,Perm
1,Relationship,RELREC,STUDYID,,Study Identifier,STUDYID,,,Unique identifier for a study.,Req
